,enterprise_id,enterprise_name,enterprise_name_code
79,57915876-2,携程保险代理,"['0500270', '0269140', '0262940', '0782190', '0232400', '0161150']"
80,MA27WGGK-0,易保保险代理,"['0602270', '0262940', '0262940', '0782190', '0232400', '0161150']"
81,MA0P52QM-8,易康吉保险经纪,"['0602270', '0002990', '0406010', '0262940', '0782190', '0271120', '0271170']"
82,MA06J256-2,易才宏业保险经纪,"['0602270', '0402000', '0307320', '0321000', '0262940', '0782190', '0271120', '0271170']"
83,MA5T6L1D-5,易联民康保险经纪,"['0602270', '0184840', '0777470', '0002990', '0262940', '0782190', '0271120', '0271170']"
84,MA3MLJNF-8,易通保险经纪,"['0602270', '0373020', '0262940', '0782190', '0271120', '0271170']"
85,MA6K5TYG-X,泰康人寿保险云南保山隆阳支,"['0509090', '0002990', '0800000', '0503400', '0262940', '0782190', '0107320', '0402270', '0262940', '0227700', '0772150', '0762000', '0404070']"
86,55013195-3,泰康人寿保险云南保山龙陵支,"['0509090', '0002990', '0800000', '0503400', '0262940', '0782190', '0107320', '0402270', '0262940', '0227700', '0430140', '0742470', '0404070']"
87,55577579-0,泰康人寿保险四川遂宁安居营销服务部,"['0509090', '0002990', '0800000', '0503400', '0262940', '0782190', '0602120', '0220000', '0383030', '0302010', '0304040', '0772640', '0446060', '0897270', '0772470', '0274270', '0076270']"
88,78988085-X,泰康人寿保险新疆乌鲁木齐米东区营销服务部,"['0509090', '0002990', '0800000', '0503400', '0262940', '0782190', '0029210', '0111160', '0271270', '0276010', '0409000', '0002240', '0909040', '0409040', '0717140', '0446060', '0897270', '0772470', '0274270', '0076270']"
89,58931314-8,泰康人寿保险新疆阿克苏阿瓦提支,"['0509090', '0002990', '0800000', '0503400', '0262940', '0782190', '0029210', '0111160', '0712200', '0402120', '0443300', '0712200', '0107170', '0560810', '0404070']"
90,MA614E55-1,中京恒瑞国际软件,"['0500060', '0009060', '0910160', '0121270', '0601030', '0712910', '0475820', '0252000']"
91,MA2HX90M-0,中企筑链科技,"['0500060', '0801010', '0881170', '0847350', '0249000', '0540470']"
92,MA01Q082-7,中教兴业信息系统集成（北京）,"['0500060', '0484400', '0908010', '0321000', '0202610', '0263300', '0209030', '0201120', '0209040', '0532000', '0000000', '0121100', '0009060', '0000000']"
93,MA01R1N9-8,中教宏业（北京）系统集成,"['0500060', '0484400', '0307320', '0321000', '0000000', '0121100', '0009060', '0000000', '0209030', '0201120', '0209040', '0532000']"
94,MA33R8F9-3,中科华腾（厦门）科技,"['0500060', '0249000', '0244010', '0792270', '0000000', '0712470', '0370010', '0000000', '0249000', '0540470']"
95,MA552JPG-3,中科唯速（广东）科技,"['0500060', '0249000', '0600150', '0353090', '0000000', '0002000', '0409040', '0000000', '0249000', '0540470']"
96,MA01R86P-X,北京华云智天信息技术,"['0121100', '0009060', '0244010', '0107320', '0866000', '0108040', '0202610', '0263300', '0540470', '0439000']"
97,10120953-2,北京合力金桥系统集成技术,"['0121100', '0009060', '0806010', '0400270', '0801090', '0429280', '0209030', '0201120', '0209040', '0532000', '0540470', '0439000']"
98,MA01WAER-X,北京启数智能系统,"['0121100', '0009060', '0302670', '0984400', '0866000', '0222120', '0209030', '0201120']"
99,75601178-9,北京浩宇中天系统集成技术,"['0121100', '0009060', '0341610', '0304010', '0500060', '0108040', '0209030', '0201120', '0209040', '0532000', '0540470', '0439000']"
100,MA140TP6-X,吉林市中睿信息系统集成服务,"['0406010', '0449900', '0002270', '0500060', '0216080', '0202610', '0263300', '0209030', '0201120', '0209040', '0532000', '0772470', '0274270']"
101,66162361-9,吉林阳光智能系统集成,"['0406010', '0449900', '0762000', '0902120', '0866000', '0222120', '0209030', '0201120', '0209040', '0532000']"
102,MA0YHE23-6,吉闻信息系统（大连）,"['0406010', '0374010', '0202610', '0263300', '0209030', '0201120', '0000000', '0408000', '0343050', '0000000']"
103,07720124-9,安徽仝益电脑系统集成,"['0304040', '0282400', '0801020', '0801020', '0507160', '0702720', '0209030', '0201120', '0209040', '0532000']"
104,72999536-4,安徽四通智能建筑系统集成工程,"['0304040', '0282400', '0602120', '0373020', '0866000', '0222120', '0154000', '0881170', '0209030', '0201120', '0209040', '0532000', '0101020', '0269140']"
105,MA2UA5B9-X,安徽威斯孚信息工程,"['0304040', '0282400', '0532000', '0428210', '0204070', '0202610', '0263300', '0101020', '0269140']"
106,MA2NMAP8-3,安徽皖脉网络系统集成,"['0304040', '0282400', '0236120', '0732920', '0772200', '0271640', '0209030', '0201120', '0209040', '0532000']"
107,MA2TF4KM-7,安徽铁面网络科技,"['0304040', '0282400', '0857800', '0106020', '0772200', '0271640', '0249000', '0540470']"
108,71928826-0,广东中软系统集成,"['0002000', '0409040', '0500060', '0475820', '0209030', '0201120', '0209040', '0532000']"
109,MA59TW7W-6,广东企胜系统集成,"['0002000', '0409040', '0801010', '0752100', '0209030', '0201120', '0209040', '0532000']"
110,72119327-9,广东创恒系统集成,"['0002000', '0409040', '0827000', '0910160', '0209030', '0201120', '0209040', '0532000']"
111,MA5CRBGT-3,广东奥腾云信息科技,"['0002000', '0409040', '0278040', '0792270', '0107320', '0202610', '0263300', '0249000', '0540470']"
112,78298599-0,广东安宏系统集成,"['0002000', '0409040', '0304040', '0307320', '0209030', '0201120', '0209040', '0532000']"
113,MA5D0HKU-7,广东安护通信息科技,"['0002000', '0409040', '0304040', '0530070', '0373020', '0202610', '0263300', '0249000', '0540470']"
114,MA5CX043-7,广东德善信息科技,"['0002000', '0409040', '0242310', '0806010', '0202610', '0263300', '0249000', '0540470']"
115,31585021-0,广西东方智源系统集成,"['0002000', '0106040', '0409040', '0002270', '0866000', '0311960', '0209030', '0201120', '0209040', '0532000']"
116,MA5P0GX9-6,广西北海市祥泉龙信息技术,"['0002000', '0106040', '0121100', '0381570', '0002270', '0382510', '0269020', '0430140', '0202610', '0263300', '0540470', '0439000']"
117,09880900-X,广西标鼎安防系统集成,"['0002000', '0106040', '0419910', '0222270', '0304040', '0702270', '0209030', '0201120', '0209040', '0532000']"
