,left_enterprise_name_code,left_enterprise_id,similarity,right_RequestId,right_RequestNameCode
33,"['0269020', '0320000', '0002270', '0409040', '0006010', '0507160', '0174070']",70537060-X,0.66285044,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
34,"['0000000', '0000000', '0242100', '0904070', '0000000', '0002000', '0320000', '0000000', '0101020', '0269140', '0871040', '0949000']",73974488-4,0.6606753,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
35,"['0211000', '0381570', '0002270', '0002320', '0801010', '0321000', '0234070', '0772320']",06598865-4,0.6589099,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
36,"['0121100', '0009060', '0500000', '0777470', '0772200', '0269000', '0601030', '0712910', '0407320', '0321000', '0249000', '0540470', '0234070', '0772320']",76627734-5,0.65697813,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
37,"['0002000', '0320000', '0304010', '0210820', '0371160', '0321000', '0234070', '0772320']",MA5AM3WF-X,0.656262,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
38,"['0271270', '0276010', '0409000', '0002240', '0302270', '0441120', '0002010', '0104400', '0234070', '0000000', '0209040', '0602400', '0000000']",77605978-X,0.6506969,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
39,"['0341120', '0320000', '0002270', '0101010', '0101000', '0101020', '0234070', '0507160']",76478580-5,0.6498425,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
40,"['0500060', '0171020', '0772200', '0249000', '0540470', '0000000', '0002000', '0320000', '0000000']",07840924-4,0.6489245,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
41,"['0729040', '0801090', '0507160', '0174070', '0076270', '0606600', '0000000', '0968000', '0236000', '0000000']",76575900-0,0.6474281,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
42,"['0101020', '0400300', '0000000', '0209040', '0602400', '0000000', '0807320', '0347000', '0210270', '0500070', '0274270', '0722210', '0000000', '0245410', '0152900', '0806010', '0373020', '0806010', '0292800', '0000000']",07856324-1,0.64711255,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
43,"['0371940', '0421000', '0002270', '0606000', '0229000', '0532000', '0507160', '0174070']",78655035-3,0.6457027,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
44,"['0306060', '0401000', '0475820', '0252000', '0249000', '0540470', '0000000', '0227700', '0409040', '0000000']",79036309-2,0.6452453,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
45,"['0000000', '0000000', '0000000', '0002270', '0712130', '0507160', '0479100']",77892908-0,0.6450294,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
46,"['0321000', '0762000', '0002270', '0172320', '0269000', '0311960', '0867150', '0002270', '0174070', '0507160', '0341120', '0222000', '0343060']",MA4QDBX3-3,0.6415708,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
47,"['0500060', '0508000', '0029210', '0374010', '0271170', '0179090', '0507160', '0629220', '0222000', '0220270', '0712000', '0000000', '0209040', '0602400', '0000000']",10191037-X,0.64133984,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
48,"['0000000', '0000000', '0000000', '0000000', '0500060', '0601030', '0000000', '0301240', '0402270', '0802270']",73262462-8,0.63887,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
49,"['0601000', '0029210', '0249000', '0304010', '0381170', '0405000', '0772200', '0606600', '0000000', '0408000', '0343050', '0000000']",05805252-4,0.63759875,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
50,"['0002000', '0320000', '0887120', '0351000', '0371160', '0321000', '0234070', '0772320']",MA5AQ9NJ-3,0.63629925,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
